,name,price
459,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
460,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
461,"Infinix HOT 30i (Marigold, 128 GB)",8999
462,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
463,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
464,"Infinix HOT 30i (Diamond White, 128 GB)",8999
465,"Infinix HOT 30i (Diamond White, 64 GB)",7999
466,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
467,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
468,"Infinix HOT 30i (Marigold, 64 GB)",7999
469,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
